-0.816,0.773,0.152,91,23.25808002,114.12769113,0.000
-0.323,0.788,0.153,91,23.25808286,114.12769431,0.000
0.153,1.197,0.147,92,23.25808612,114.12769817,0.000
0.430,1.544,0.152,94,23.25809031,114.12770196,0.000
0.483,2.221,0.141,94,23.25809508,114.12770211,0.000
0.656,2.969,0.123,95,23.25810172,114.12770343,0.000
0.834,3.486,0.121,97,23.25810766,114.12770543,0.000
0.738,4.251,0.111,99,23.25811395,114.12770443,0.000
0.579,4.804,0.134,100,23.25811982,114.12770247,0.000
0.463,4.920,0.133,100,23.25812072,114.12770098,0.000
0.181,4.951,0.132,100,23.25812082,114.12769885,0.000
-0.085,4.864,0.128,100,23.25811986,114.12769606,0.000
-0.391,4.529,0.129,100,23.25811805,114.12769361,0.000
-0.616,3.908,0.134,100,23.25811140,114.12769123,0.000
-0.939,3.188,0.143,100,23.25810554,114.12768863,0.000
-1.261,2.395,0.139,100,23.25809869,114.12768562,0.000
-1.421,1.905,0.140,100,23.25809249,114.12768355,0.000
-1.185,1.207,0.175,100,23.25808699,114.12768605,0.000
-0.816,0.773,0.152,91,23.25808002,114.12769113,0.000
