12.691,-11.282,-31.567,100,23.25781862,114.12731923,0.000
12.457,-10.902,-31.512,100,23.25782565,114.12731431,0.000
11.792,-10.055,-31.452,100,23.25783332,114.12730762,0.000
9.953,-8.554,-31.352,100,23.25784603,114.12728999,0.000
8.668,-7.067,-31.266,100,23.25785928,114.12727687,0.000
8.406,-6.522,-31.242,100,23.25786395,114.12727333,0.000
8.431,-5.804,-31.242,100,23.25787042,114.12727326,0.000
8.071,-4.750,-31.232,100,23.25788055,114.12726981,0.000
8.280,-4.440,-31.243,100,23.25788296,114.12727026,0.000
10.325,-3.530,-31.157,100,23.25789204,114.12729059,0.000
11.504,-3.316,-31.160,100,23.25789426,114.12730155,0.000
12.092,-3.114,-31.164,100,23.25789596,114.12730757,0.000
12.992,-2.521,-31.126,100,23.25790139,114.12731653,0.000
14.280,-1.328,-31.093,100,23.25791258,114.12732891,0.000
15.505,0.850,-31.002,100,23.25793236,114.12734059,0.000
16.161,1.626,-30.887,100,23.25793957,114.12734660,0.000
16.668,1.946,-30.858,100,23.25794239,114.12735040,0.000
18.560,2.671,-30.659,100,23.25794929,114.12736938,0.000
20.906,3.235,-30.595,100,23.25795495,114.12739185,0.000
21.953,3.666,-30.530,100,23.25795896,114.12740252,0.000
22.767,4.247,-30.462,100,23.25796400,114.12741052,0.000
23.152,4.619,-30.426,100,23.25796772,114.12741433,0.000
24.590,5.357,-30.488,100,23.25797492,114.12742867,0.000
24.956,5.417,-30.528,100,23.25797604,114.12743164,0.000
26.779,4.562,-31.051,100,23.25796887,114.12744953,0.000
27.656,4.239,-31.317,100,23.25796599,114.12745773,0.000
29.153,4.030,-31.394,100,23.25796403,114.12747248,0.000
29.797,4.213,-31.514,100,23.25796517,114.12747865,0.000
32.769,6.218,-31.825,100,23.25798396,114.12750795,0.000
35.447,9.149,-32.149,100,23.25801079,114.12753341,0.000
37.549,9.951,-32.402,100,23.25801886,114.12755412,0.000
38.934,10.260,-32.632,100,23.25802183,114.12756633,0.000
39.790,10.341,-32.765,100,23.25802294,114.12757504,0.000
41.180,10.097,-33.114,100,23.25802128,114.12758931,0.000
42.062,9.774,-33.181,100,23.25801896,114.12759745,0.000
43.081,9.106,-33.248,100,23.25801338,114.12760739,0.000
43.496,8.723,-33.346,100,23.25800961,114.12761245,0.000
45.112,6.350,-33.429,100,23.25798912,114.12762828,0.000
45.679,5.033,-33.593,100,23.25797852,114.12763368,0.000
46.453,3.788,-33.840,100,23.25796612,114.12764254,0.000
46.637,2.673,-33.998,100,23.25795600,114.12764472,0.000
46.622,1.500,-34.066,100,23.25794628,114.12764483,0.000
46.952,-0.857,-34.086,100,23.25792515,114.12764806,0.000
47.093,-1.377,-34.072,100,23.25791916,114.12764978,0.000
47.308,-4.226,-34.042,100,23.25789431,114.12765263,0.000
47.237,-5.452,-34.024,100,23.25788271,114.12765209,0.000
47.285,-5.944,-34.021,100,23.25787781,114.12765265,0.000
47.179,-6.416,-34.018,100,23.25787373,114.12765207,0.000
46.060,-7.275,-33.964,100,23.25786559,114.12764182,0.000
44.728,-7.766,-33.896,100,23.25786086,114.12762928,0.000
42.194,-7.616,-33.765,100,23.25786158,114.12760496,0.000
40.956,-7.899,-33.674,100,23.25785902,114.12759304,0.000
39.932,-8.290,-33.608,100,23.25785523,114.12758259,0.000
39.334,-8.400,-33.591,100,23.25785437,114.12757757,0.000
38.358,-8.928,-33.523,90,23.25784933,114.12756695,0.000
35.576,-9.819,-33.398,98,23.25784085,114.12754014,0.000
35.003,-10.239,-33.381,98,23.25783731,114.12753445,0.000
34.566,-10.709,-33.336,98,23.25783280,114.12753026,0.000
33.710,-11.243,-33.319,98,23.25782787,114.12752227,0.000
32.623,-12.184,-33.232,98,23.25781905,114.12751147,0.000
32.069,-12.411,-33.220,98,23.25781668,114.12750638,0.000
31.486,-12.537,-33.211,98,23.25781537,114.12750080,0.000
30.845,-12.785,-33.194,98,23.25781327,114.12749456,0.000
29.595,-13.569,-33.153,100,23.25780591,114.12748256,0.000
28.521,-13.755,-33.108,100,23.25780366,114.12747199,0.000
27.259,-14.281,-33.071,100,23.25779875,114.12745961,0.000
26.648,-14.451,-33.057,90,23.25779717,114.12745383,0.000
25.949,-14.873,-33.037,92,23.25779399,114.12744746,0.000
24.836,-15.774,-33.040,98,23.25778517,114.12743618,0.000
21.130,-16.907,-32.875,98,23.25777412,114.12740026,0.000
19.929,-17.375,-32.844,98,23.25776989,114.12738897,0.000
19.247,-17.764,-32.811,98,23.25776630,114.12738230,0.000
18.595,-17.931,-32.786,98,23.25776420,114.12737608,0.000
17.162,-17.786,-32.665,100,23.25776508,114.12736194,0.000
15.930,-17.484,-32.584,100,23.25776755,114.12734944,0.000
15.380,-17.225,-32.548,100,23.25776982,114.12734356,0.000
15.026,-16.918,-32.540,100,23.25777197,114.12734047,0.000
14.504,-15.997,-32.362,100,23.25777952,114.12733517,0.000
13.888,-15.185,-32.109,100,23.25778722,114.12732877,0.000
12.941,-13.410,-31.723,100,23.25780288,114.12731941,0.000
12.349,-11.432,-31.530,100,23.25782143,114.12731281,0.000
12.368,-11.481,-31.514,100,23.25782108,114.12731295,0.000
12.691,-11.282,-31.567,100,23.25781862,114.12731923,0.000
