38.685,-3.289,-33.222,100,23.25789573,114.12756471,0.000
38.629,-3.379,-33.208,100,23.25789823,114.12756678,0.000
40.893,-2.774,-33.452,100,23.25790454,114.12758814,0.000
42.401,-2.371,-33.604,100,23.25790845,114.12760385,0.000
43.894,-0.980,-33.715,100,23.25792098,114.12761805,0.000
45.354,-0.040,-33.859,100,23.25792996,114.12763201,0.000
45.622,0.235,-33.952,100,23.25793257,114.12763524,0.000
45.627,0.403,-33.943,100,23.25793407,114.12763542,0.000
45.142,1.390,-33.860,100,23.25794265,114.12763071,0.000
45.195,1.787,-33.823,100,23.25794622,114.12763065,0.000
45.599,2.265,-33.838,100,23.25795101,114.12763458,0.000
47.814,3.067,-34.082,100,23.25795832,114.12765472,0.000
48.250,3.236,-34.109,100,23.25796021,114.12766008,0.000
48.597,3.711,-34.175,100,23.25796450,114.12766373,0.000
47.797,4.779,-34.074,100,23.25797347,114.12765625,0.000
47.049,5.267,-33.919,100,23.25797813,114.12764890,0.000
46.685,5.277,-33.842,100,23.25797856,114.12764523,0.000
45.893,4.683,-33.806,100,23.25797312,114.12763783,0.000
45.252,4.424,-33.772,100,23.25797092,114.12763150,0.000
44.571,3.634,-33.702,100,23.25796420,114.12762525,0.000
43.793,3.005,-33.642,100,23.25795763,114.12761753,0.000
41.560,3.095,-33.466,100,23.25795800,114.12759632,0.000
41.114,3.133,-33.262,100,23.25795813,114.12759152,0.000
40.972,2.506,-33.237,100,23.25795376,114.12758978,0.000
40.969,2.010,-33.268,100,23.25794864,114.12758978,0.000
40.527,1.116,-33.247,100,23.25794015,114.12758575,0.000
39.574,0.519,-33.182,100,23.25793484,114.12757727,0.000
39.295,0.194,-33.036,100,23.25793199,114.12757412,0.000
39.151,-0.175,-33.027,100,23.25792852,114.12757281,0.000
38.477,-0.996,-32.949,100,23.25792091,114.12756678,0.000
38.314,-1.487,-32.910,100,23.25791665,114.12756475,0.000
38.415,-1.941,-32.981,100,23.25791306,114.12756515,0.000
38.804,-2.881,-33.203,100,23.25790355,114.12756951,0.000
38.685,-3.289,-33.222,100,23.25789573,114.12756471,0.000
