-0.261,0.489,0.153,91,23.25808286,114.12769431,0.300
-0.165,0.526,0.153,91,23.25808286,114.12769431,0.300
0.359,0.978,0.147,92,23.25808612,114.12769817,0.300
0.379,0.998,0.147,92,23.25808612,114.12769817,0.300
0.693,1.392,0.152,94,23.25809031,114.12770196,0.300
0.726,1.476,0.152,94,23.25809031,114.12770196,0.300
0.780,2.176,0.141,94,23.25809508,114.12770211,0.300
0.943,2.886,0.123,95,23.25810172,114.12770343,0.300
1.129,3.419,0.121,97,23.25810766,114.12770543,0.300
1.136,3.488,0.121,97,23.25810766,114.12770543,0.300
1.034,4.299,0.111,99,23.25811395,114.12770443,0.300
1.030,4.322,0.111,99,23.25811395,114.12770443,0.300
0.857,4.923,0.134,100,23.25811982,114.12770247,0.300
0.818,4.988,0.134,100,23.25811982,114.12770247,0.300
0.639,5.167,0.133,100,23.25812072,114.12770098,0.300
0.547,5.211,0.133,100,23.25812072,114.12770098,0.300
0.182,5.253,0.132,100,23.25812082,114.12769885,0.300
0.117,5.246,0.132,100,23.25812082,114.12769885,0.300
-0.215,5.136,0.128,100,23.25811986,114.12769606,0.300
-0.279,5.094,0.128,100,23.25811986,114.12769606,0.300
-0.632,4.710,0.129,100,23.25811805,114.12769361,0.300
-0.663,4.659,0.129,100,23.25811805,114.12769361,0.300
-0.890,4.030,0.134,100,23.25811140,114.12769123,0.300
-1.215,3.305,0.143,100,23.25810554,114.12768863,0.300
-1.540,2.502,0.139,100,23.25809869,114.12768562,0.300
-1.544,2.492,0.139,100,23.25809869,114.12768562,0.300
-1.720,1.952,0.140,100,23.25809249,114.12768355,0.300
-1.720,1.855,0.140,100,23.25809249,114.12768355,0.300
-1.459,1.084,0.175,100,23.25808699,114.12768605,0.300
-1.431,1.035,0.175,100,23.25808699,114.12768605,0.300
-1.001,0.526,0.152,91,23.25808002,114.12769113,0.300
-0.875,0.470,0.152,91,23.25808002,114.12769113,0.300
-0.261,0.489,0.153,91,23.25808286,114.12769431,0.300
