13.725,-8.511,-31.448,100,23.25784824,114.12732546
13.643,-8.665,-31.454,100,23.25784682,114.12732476
13.236,-8.829,-31.466,100,23.25784540,114.12732132
12.248,-8.697,-31.400,100,23.25784616,114.12731207
11.746,-8.613,-31.385,100,23.25784652,114.12730751
10.856,-8.097,-31.307,100,23.25785086,114.12729862
9.966,-7.595,-31.295,100,23.25785534,114.12728992
9.627,-7.404,-31.239,100,23.25785713,114.12728570
8.970,-6.680,-31.217,100,23.25786306,114.12727960
8.199,-6.004,-31.201,100,23.25786911,114.12727205
7.347,-5.417,-31.230,100,23.25787429,114.12726361
6.565,-5.186,-31.336,100,23.25787697,114.12725498
5.555,-4.996,-31.406,100,23.25787845,114.12724567
4.882,-4.870,-31.447,100,23.25787943,114.12723951
4.325,-4.533,-31.503,100,23.25788187,114.12723405
3.425,-3.710,-31.634,100,23.25788930,114.12722450
2.631,-3.016,-31.744,100,23.25789544,114.12721671
2.235,-2.661,-31.789,100,23.25789800,114.12721304
1.623,-1.887,-31.882,100,23.25790487,114.12720689
0.947,-1.024,-31.857,100,23.25791249,114.12720026
0.257,-0.358,-31.842,100,23.25791899,114.12719294
0.504,0.252,-31.868,100,23.25792487,114.12719464
