42.807,1.738,-33.574,100,23.25794601,114.12760746
43.420,1.276,-33.627,100,23.25794274,114.12761247
43.752,0.878,-33.671,100,23.25793986,114.12761589
44.319,0.212,-33.797,100,23.25793370,114.12762147
44.923,-0.328,-33.858,100,23.25792893,114.12762707
45.580,-0.877,-33.929,100,23.25792382,114.12763375
46.146,-1.566,-34.001,100,23.25791757,114.12764001
46.543,-2.158,-34.018,100,23.25791193,114.12764446
46.779,-2.704,-34.007,100,23.25790750,114.12764670
47.016,-3.262,-34.026,100,23.25790190,114.12764955
46.731,-4.089,-34.015,100,23.25789501,114.12764723
46.413,-4.588,-33.993,100,23.25789091,114.12764540
45.850,-5.133,-33.941,100,23.25788586,114.12763998
45.272,-5.663,-33.913,100,23.25788085,114.12763443
44.687,-6.201,-33.880,100,23.25787592,114.12762874
44.180,-6.698,-33.854,100,23.25787092,114.12762354
44.163,-6.707,-33.835,100,23.25787003,114.12762247
