
Nov 22 04:57:23 localhost kernel: [    9.229655] file system registered
Nov 22 04:57:23 localhost kernel: [    9.283257] read descriptors
Nov 22 04:57:23 localhost kernel: [    9.283279] read strings
Nov 22 04:57:24 localhost kernel: [    9.376897] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:25:39 localhost kernel: [   21.127359] [L709][S65535] vin_node_set_ichn_attr begin format 43 width 1088 
Mar  5 18:25:39 localhost kernel: [   21.127372] [L527][S0][ipi0]cim_set_ichn_attr done
Mar  5 18:25:39 localhost kernel: [   21.127376] [CIM]:[L309][S0]cim_video_set_ichn_attr done ret val:0
Mar  5 18:25:39 localhost kernel: [   21.127380] [L724][S0]vin_node_set_ichn_attr done
Mar  5 18:25:39 localhost kernel: [   21.127384] [VIN_NODE]:[L427][C0]vin_node_video_set_ichn_attr done
Mar  5 18:25:39 localhost kernel: [   21.127390] [L1023][S0] vin_node_reqbufs done bit_map 0x1 planecount 1 
Mar  5 18:25:39 localhost kernel: [   21.127394] [VIN_NODE]:[L743][C0]vin_node_video_reqbufs done
Mar  5 18:25:39 localhost kernel: [   21.127406] [VPF ops]:[L1193][F0] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127411] [VPF ops]:[L1197][F0] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127416] [VPF ops]:[L1193][F1] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127419] [VPF ops]:[L1197][F1] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127423] [VPF ops]:[L1193][F2] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127427] [VPF ops]:[L1197][F2] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127431] [VPF ops]:[L1193][F3] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127434] [VPF ops]:[L1197][F3] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127438] [VPF ops]:[L1193][F4] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127442] [VPF ops]:[L1197][F4] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127446] [VPF ops]:[L1193][F5] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127449] [VPF ops]:[L1197][F5] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127453] [VPF ops]:[L1193][F6] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127456] [VPF ops]:[L1197][F6] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127460] [VPF ops]:[L1193][F7] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127464] [VPF ops]:[L1197][F7] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127467] [VPF ops]:[L1193][F8] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127471] [VPF ops]:[L1197][F8] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127475] [VPF ops]:[L1193][F9] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127478] [VPF ops]:[L1197][F9] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127482] [VPF ops]:[L1193][F10] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127486] [VPF ops]:[L1197][F10] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127490] [VPF ops]:[L1193][F11] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127494] [VPF ops]:[L1197][F11] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127498] [VPF ops]:[L1193][F12] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127501] [VPF ops]:[L1197][F12] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127505] [VPF ops]:[L1193][F13] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127509] [VPF ops]:[L1197][F13] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127513] [VPF ops]:[L1193][F14] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127516] [VPF ops]:[L1197][F14] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127520] [VPF ops]:[L1193][F15] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:25:39 localhost kernel: [   21.127524] [VPF ops]:[L1197][F15] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:25:39 localhost kernel: [   21.127528] [VPF ops]:[L1325][vin2_src][C0] vpf_request_frames: reqbuf number 16
Mar  5 18:25:39 localhost kernel: [   21.127533] [VPF ops]:[L850][vin2_src][C0] vpf_video_set_ichn_attr: done
Mar  5 18:25:39 localhost kernel: [   21.127566] [VPF ops]:[L1079][vin2_src][C0] vpf_video_get_struct_size: done
Mar  5 18:25:39 localhost kernel: [   21.127723] [L236][S0] ochn0 auto calc vstride 1280
Mar  5 18:25:39 localhost kernel: [   21.127732] [L160]vin_basic_attr->format:43
Mar  5 18:25:39 localhost kernel: [   21.127738] [L425][S0][ipi0][ochn0]cim_set_ochn_attr done
Mar  5 18:25:39 localhost kernel: [   21.127742] [CIM]:[L340][S0]cim_video_set_ochn_attr done ret val:0
Mar  5 18:25:39 localhost kernel: [   21.127746] [L652][S0]vin_node_set_ochn_attr done
Mar  5 18:25:39 localhost kernel: [   21.127749] [VIN_NODE]:[L364][C0]vin_node_video_set_ochn_attr done
Mar  5 18:25:39 localhost kernel: [   21.127754] [L975]VNODE_ID_CAP wstride 2176
Mar  5 18:25:39 localhost kernel: [   21.127757] [L977]VNODE_ID_CAP vstride 1280
Mar  5 18:25:39 localhost kernel: [   21.127760] [L981]vstride 1280  planecount 1 
Mar  5 18:25:39 localhost kernel: [   21.127763] [L1023][S0] vin_node_reqbufs done bit_map 0x1 planecount 1 
Mar  5 18:25:39 localhost kernel: [   21.127767] [VIN_NODE]:[L743][C0]vin_node_video_reqbufs done
Mar  5 18:25:39 localhost kernel: [   21.127781] [VPF ops]:[L1325][vin2_cap][C0] vpf_request_frames: reqbuf number 16
Mar  5 18:25:39 localhost kernel: [   21.127787] [VPF ops]:[L978][vin2_cap][C0] vpf_video_set_ochn_attr: done
Mar  5 18:25:39 localhost kernel: [   21.127820] [VPF ops]:[L1079][vin2_src][C0] vpf_video_get_struct_size: done
Mar  5 18:25:39 localhost kernel: [   21.127843] vin mipi2: snrclk set freq cmd
Mar  5 18:25:39 localhost kernel: [   21.127859] vin mipi2: sensor2_mclk set 24000000 as 24000000
Mar  5 18:25:39 localhost kernel: [   21.127864] vin mipi2: snrclk set en cmd
Mar  5 18:25:39 localhost kernel: [   21.127867] vin mipi2: snrclk set enable
Mar  5 18:25:39 localhost kernel: [   21.127885] [L517][S0]vin_node_set_attr_ex done
Mar  5 18:25:39 localhost kernel: [   21.127889] [VIN_NODE]:[L324][C0]vin_node_video_set_attr_ex done
Mar  5 18:25:39 localhost kernel: [   21.127893] [VPF ops]:[L763][vin2_src][C0] vpf_video_set_attr_ex: done
Mar  5 18:25:39 localhost kernel: [   21.127898] [L517][S0]vin_node_set_attr_ex done
Mar  5 18:25:39 localhost kernel: [   21.127901] [VIN_NODE]:[L324][C0]vin_node_video_set_attr_ex done
Mar  5 18:25:39 localhost kernel: [   21.127905] [VPF ops]:[L763][vin2_cap][C0] vpf_video_set_attr_ex: done
Mar  5 18:25:39 localhost kernel: [   21.128055] [L975]VNODE_ID_CAP wstride 2176
